Activity,Count,Total Time (seconds),Category
completing her morning routine and stretching,360,3600,Personal care activities
making a cup of tea,30,300,Household activities
choosing a book or music to enjoy,60,600,Leisure and sports
settling into her favorite chair,30,300,Leisure and sports
sipping her tea and starting to read or listen to music,180,1800,Leisure and sports
taking a break to stretch or get up and move around,60,600,Leisure and sports
waking up and getting out of bed,60,600,Personal care activities
stretching and doing light exercises,120,1200,Leisure and sports
taking her medication,120,1200,Personal care activities
taking a shower and getting dressed,120,1200,Personal care activities
preparing her bag with necessary items for the day,30,300,Work and work-related
checking the weather and dressing accordingly,30,300,Personal care activities
making breakfast and eating,180,1800,Eating and drinking
cleaning up after breakfast,120,1200,Household activities
turning on the furnace and TV in the Cafe,30,300,Working and work-related
preparing the cash register for the day,60,600,Working and work-related
checking inventory and restocking items if needed,90,900,Working and work-related
greeting customers and taking their orders,180,1800,Working and work-related
making and serving drinks and food,360,3600,Working and work-related
cleaning and organizing the counter area,120,1200,Work and work-related
taking a break and enjoying a cup of coffee,90,900,Leisure and sports
restocking items and preparing for the next day,120,1200,Working and work-related
turning off the furnace and TV in the Cafe,30,300,Working and work-related
washing her hands,30,300,Personal care activities
preparing her lunch,90,900,Household activities
setting the table,30,300,Household activities
enjoying her lunch,180,1800,Eating and drinking
cleaning up after her lunch,30,300,Household activities
turning on the lights and unlocking the door to Hobbs Cafe,30,300,Working and work-related
checking the inventory and restocking any items that are low,60,600,Working and work-related
preparing the coffee machine and making sure it is clean and ready for use,90,900,Working and work-related
"setting up the counter with menus, napkins, and other necessary items",60,600,Working and work-related
turning on the TV and adjusting the volume to a comfortable level,30,300,Leisure and sports
greeting customers as they come in and taking their orders,180,1800,Working and work-related
making and serving coffee and other drinks to customers,180,1800,Working and work-related
cleaning and wiping down the counter and tables,60,600,Working and work-related
"closing the cafe by turning off the lights, locking the door, and setting the alarm",30,300,Working and work-related
sitting down in a comfortable chair,30,300,Leisure and sports
taking deep breaths and relaxing her body,60,600,Leisure and sports
reading a book,300,3000,Leisure and sports
knitting a scarf,180,1800,Leisure and sports
taking a break and having a cup of tea,60,600,Leisure and sports
checking her phone for any important messages,30,300,"Telephone calls, mail, and e-mail"
continuing to knit,180,1800,Leisure and sports
setting the table for dinner,30,300,Household activities
heating up leftovers in the microwave,60,600,Household activities
pouring herself a glass of water,30,300,Household activities
sitting down at the table to eat,30,300,Household activities
eating her dinner,210,2100,Eating and drinking
turning on the TV,30,300,Working and work-related
selecting a channel to watch,30,300,Leisure and sports
adjusting the volume,30,300,Leisure and sports
getting comfortable on the couch,30,300,Leisure and sports
watching the news,180,1800,Leisure and sports
taking a break to stretch,30,300,Leisure and sports
watching a cooking show,180,1800,Leisure and sports
taking a break to get a snack,30,300,Leisure and sports
watching a movie,180,1800,Leisure and sports
turning off the TV in the cafe,30,300,Working and work-related
closing the cafe and locking the door,60,600,Working and work-related
turning off the furnace in the cafe,30,300,Working and work-related
walking back to her apartment,60,600,Leisure and sports
changing into her pajamas,60,600,Personal care activities
brushing her teeth,60,600,Personal care activities
washing her face,60,600,Personal care activities
setting her alarm for the next day,30,300,Personal care activities
getting into bed and turning off the lights,30,300,Working and work-related
turning off the lights in her home,30,300,Working and work-related
getting into bed,30,300,Personal care activities
turning off the TV,30,300,Working and work-related
turning off her phone,30,300,Working and work-related
sleeping,361,3610,Personal care activities
