Activity,Count,Total Time (seconds)
doing light stretches and taking her medication,360,3600
making herself a cup of tea,30,300
finding a comfortable spot to sit and relax,30,300
turning on her favorite music,30,300
closing her eyes and taking deep breaths,120,1200
sipping her tea and enjoying the music,60,600
reflecting on her day ahead,60,600
checking her schedule for the day,30,300
making a mental to-do list,30,300
finishing her tea and getting up to start her day,30,300
making a cup of tea,90,900
finding a comfortable spot to sit,60,600
picking out a book to read,60,600
reading the book,540,5400
taking a break and stretching,180,1800
continuing to read the book,270,2700
turning on the furnace and TV in the Cafe,30,300
preparing the cash register for the day,60,600
wiping down the counter and tables,150,1500
restocking the display case with pastries,120,1200
brewing a fresh pot of coffee,60,600
taking a break to enjoy a cup of coffee,90,900
greeting and chatting with customers,180,1800
taking orders and preparing drinks,270,2700
cleaning up the counter and restocking supplies,120,1200
closing the cafe and turning off the furnace,60,600
sitting down at a table in the cafe,30,300
taking out her knitting supplies,30,300
choosing a knitting pattern,120,1200
knitting,480,4800
taking a break and drinking some water,30,300
finishing up her knitting project,30,300
turning off the furnace,60,600
getting comfortable in her chair,60,600
taking a sip of her coffee,30,300
checking her phone for any messages,30,300
watching TV,120,1200
making herself comfortable in her favorite chair,30,300
choosing a book to read,30,300
taking a break and getting a glass of water,30,300
finding her knitting supplies,30,300
setting up her knitting area,30,300
finishing her knitting project,30,300
making herself comfortable on the couch,30,300
putting on her favorite music,30,300
letting her mind wander and relax,90,900
sipping on a cup of tea,60,600
knitting a scarf,180,1800
taking a break from knitting and stretching her hands,30,300
continuing to knit,180,1800
turning off the music and getting up from the couch,30,300
putting away her knitting supplies,30,300
getting her book and reading glasses,30,300
settling into her reading spot,30,300
reading her book,180,1800
turning on the TV in the Cafe,30,300
flipping through channels to find something to watch,60,600
settling on a show or movie to watch,30,300
sipping on her cup of tea,30,300
enjoying the show or movie,180,1800
finding a comfortable spot to sit and read,30,300
reading a book,180,1800
continuing to read,90,900
washing any dishes used during the day,90,900
counting the cash register and recording the sales for the day,60,600
turning off the lights in the cafe,60,600
locking the doors and setting the alarm,30,300
checking the TV to make sure it is turned off,60,600
locking the doors of the cafe,30,300
counting the cash in the register and recording it in the logbook,60,600
turning off the furnace in the cafe,30,300
checking the security cameras to make sure everything is secure,60,600
changing into her pajamas,30,300
taking her medication,30,300
brushing her teeth,30,300
washing her face and applying moisturizer,30,300
getting into bed and turning off the lights,30,300
sleeping,1,10
